#LB_label,#LA_label,#ID,ChargeTransfer,Me,nAT,nH,nROCON,nN(CO)2,nArX,N-075,la_AMW,la_nAT,la_nB,la_nHM,la_H-050
1,1,C6H8N2O:AlCl3,-0.14156,1.01,17,8,0,0,0,0,33.33,4,0,1,0
1,2,C6H8N2O:AlH3,-0.12866,1.01,17,8,0,0,0,0,7.5,4,0,1,3
1,3,C6H8N2O:C18F15Al,-0.11996,1.01,17,8,0,0,0,0,15.53,34,0,1,0
1,4,C6H8N2O:C3H9Al,-0.1018,1.01,17,8,0,0,0,0,5.55,13,0,1,0
1,5,C6H8N2O:C2H5AlCl2,-0.12956,1.01,17,8,0,0,0,0,12.7,10,0,1,0
1,6,C6H8N2O:BH3,-0.3048,1.01,17,8,0,0,0,0,3.46,4,1,0,3
1,7,C6H8N2O:BF3,-0.23782,1.01,17,8,0,0,0,0,16.95,4,1,0,0
1,8,C6H8N2O:BCl3,-0.28648,1.01,17,8,0,0,0,0,29.29,4,1,0,0
1,9,C6H8N2O:BBr3,-0.26954,1.01,17,8,0,0,0,0,62.63,4,1,0,0
1,10,C6H8N2O:C18BF15,-0.29654,1.01,17,8,0,0,0,0,15.06,34,1,0,0
1,11,C6H8N2O:BI3,-0.23184,1.01,17,8,0,0,0,0,97.88,4,1,0,0
2,1,C8H7NO2S:AlCl3,-0.12384,1.03,19,7,0,1,0,0,33.33,4,0,1,0
2,2,C8H7NO2S:AlH3,-0.07844,1.03,19,7,0,1,0,0,7.5,4,0,1,3
2,3,C8H7NO2S:C18F15Al,-0.12638,1.03,19,7,0,1,0,0,15.53,34,0,1,0
2,4,C8H7NO2S:C3H9Al,-0.07512,1.03,19,7,0,1,0,0,5.55,13,0,1,0
2,5,C8H7NO2S:C2H5AlCl2,-0.11008,1.03,19,7,0,1,0,0,12.7,10,0,1,0
2,6,C8H7NO2S:BH3,-0.26422,1.03,19,7,0,1,0,0,3.46,4,1,0,3
2,7,C8H7NO2S:BF3,-0.14992,1.03,19,7,0,1,0,0,16.95,4,1,0,0
2,8,C8H7NO2S:BCl3,-0.25678,1.03,19,7,0,1,0,0,29.29,4,1,0,0
2,9,C8H7NO2S:BBr3,-0.25028,1.03,19,7,0,1,0,0,62.63,4,1,0,0
2,11,C8H7NO2S:BI3,-0.19442,1.03,19,7,0,1,0,0,97.88,4,1,0,0
2,12,C8H7NO2S:O2S,-0.0223,1.03,19,7,0,1,0,0,21.36,3,0,0,0
3,1,C7H8N2O2S:AlCl3,-0.10326,1.03,20,8,0,2,0,0,33.33,4,0,1,0
3,2,C7H8N2O2S:AlH3,-0.0681,1.03,20,8,0,2,0,0,7.5,4,0,1,3
3,3,C7H8N2O2S:C18F15Al,-0.201,1.03,20,8,0,2,0,0,15.53,34,0,1,0
3,5,C7H8N2O2S:C2H5AlCl2,-0.08494,1.03,20,8,0,2,0,0,12.7,10,0,1,0
3,6,C7H8N2O2S:BH3,-0.22192,1.03,20,8,0,2,0,0,3.46,4,1,0,3
3,7,C7H8N2O2S:BF3,0.00218,1.03,20,8,0,2,0,0,16.95,4,1,0,0
3,8,C7H8N2O2S:BCl3,-0.0014,1.03,20,8,0,2,0,0,29.29,4,1,0,0
3,11,C7H8N2O2S:BI3,0.01072,1.03,20,8,0,2,0,0,97.88,4,1,0,0
4,1,C10H16N2O2:AlCl3,-0.13576,1.0,30,16,0,0,0,0,33.33,4,0,1,0
4,2,C10H16N2O2:AlH3,-0.10774,1.0,30,16,0,0,0,0,7.5,4,0,1,3
4,3,C10H16N2O2:C18F15Al,-0.13932,1.0,30,16,0,0,0,0,15.53,34,0,1,0
4,4,C10H16N2O2:C3H9Al,-0.08454,1.0,30,16,0,0,0,0,5.55,13,0,1,0
4,5,C10H16N2O2:C2H5AlCl2,-0.12194,1.0,30,16,0,0,0,0,12.7,10,0,1,0
4,6,C10H16N2O2:BH3,-0.28116,1.0,30,16,0,0,0,0,3.46,4,1,0,3
4,7,C10H16N2O2:BF3,-0.21876,1.0,30,16,0,0,0,0,16.95,4,1,0,0
4,8,C10H16N2O2:BCl3,-0.28102,1.0,30,16,0,0,0,0,29.29,4,1,0,0
4,9,C10H16N2O2:BBr3,-0.27182,1.0,30,16,0,0,0,0,62.63,4,1,0,0
4,10,C10H16N2O2:C18BF15,-0.30786,1.0,30,16,0,0,0,0,15.06,34,1,0,0
4,11,C10H16N2O2:BI3,-0.23758,1.0,30,16,0,0,0,0,97.88,4,1,0,0
4,12,C10H16N2O2:O2S,-0.07768,1.0,30,16,0,0,0,0,21.36,3,0,0,0
5,1,C9H9N3OS:AlCl3,-0.11056,1.02,23,9,0,0,0,0,33.33,4,0,1,0
5,2,C9H9N3OS:AlH3,-0.1036,1.02,23,9,0,0,0,0,7.5,4,0,1,3
5,3,C9H9N3OS:C18F15Al,-0.11854,1.02,23,9,0,0,0,0,15.53,34,0,1,0
5,4,C9H9N3OS:C3H9Al,-0.09272,1.02,23,9,0,0,0,0,5.55,13,0,1,0
5,5,C9H9N3OS:C2H5AlCl2,-0.1039,1.02,23,9,0,0,0,0,12.7,10,0,1,0
5,6,C9H9N3OS:BH3,-0.28864,1.02,23,9,0,0,0,0,3.46,4,1,0,3
5,7,C9H9N3OS:BF3,-0.23164,1.02,23,9,0,0,0,0,16.95,4,1,0,0
5,8,C9H9N3OS:BCl3,-0.23578,1.02,23,9,0,0,0,0,29.29,4,1,0,0
5,9,C9H9N3OS:BBr3,-0.20826,1.02,23,9,0,0,0,0,62.63,4,1,0,0
5,11,C9H9N3OS:BI3,-0.15244,1.02,23,9,0,0,0,0,97.88,4,1,0,0
6,1,C5H5NO2S:AlCl3,-0.10348,1.04,14,5,1,1,0,0,33.33,4,0,1,0
6,2,C5H5NO2S:AlH3,-0.0668,1.04,14,5,1,1,0,0,7.5,4,0,1,3
6,3,C5H5NO2S:C18F15Al,-0.09806,1.04,14,5,1,1,0,0,15.53,34,0,1,0
6,4,C5H5NO2S:C3H9Al,-0.01694,1.04,14,5,1,1,0,0,5.55,13,0,1,0
6,5,C5H5NO2S:C2H5AlCl2,-0.0772,1.04,14,5,1,1,0,0,12.7,10,0,1,0
6,6,C5H5NO2S:BH3,-0.21602,1.04,14,5,1,1,0,0,3.46,4,1,0,3
6,7,C5H5NO2S:BF3,0.001,1.04,14,5,1,1,0,0,16.95,4,1,0,0
6,8,C5H5NO2S:BCl3,-0.00338,1.04,14,5,1,1,0,0,29.29,4,1,0,0
6,9,C5H5NO2S:BBr3,-0.00204,1.04,14,5,1,1,0,0,62.63,4,1,0,0
7,1,C5H5NOS2:AlCl3,-0.10176,1.02,14,5,1,1,0,0,33.33,4,0,1,0
7,2,C5H5NOS2:AlH3,-0.05672,1.02,14,5,1,1,0,0,7.5,4,0,1,3
7,3,C5H5NOS2:C18F15Al,-0.09608,1.02,14,5,1,1,0,0,15.53,34,0,1,0
7,4,C5H5NOS2:C3H9Al,-0.00936,1.02,14,5,1,1,0,0,5.55,13,0,1,0
7,5,C5H5NOS2:C2H5AlCl2,-0.07284,1.02,14,5,1,1,0,0,12.7,10,0,1,0
7,6,C5H5NOS2:BH3,-0.1985,1.02,14,5,1,1,0,0,3.46,4,1,0,3
7,7,C5H5NOS2:BF3,0.00168,1.02,14,5,1,1,0,0,16.95,4,1,0,0
7,8,C5H5NOS2:BCl3,-0.00552,1.02,14,5,1,1,0,0,29.29,4,1,0,0
7,9,C5H5NOS2:BBr3,-0.00546,1.02,14,5,1,1,0,0,62.63,4,1,0,0
8,1,C5H3N3S:AlCl3,-0.1511,1.03,12,3,0,0,0,3,33.33,4,0,1,0
8,2,C5H3N3S:AlH3,-0.13718,1.03,12,3,0,0,0,3,7.5,4,0,1,3
8,3,C5H3N3S:C18F15Al,-0.16052,1.03,12,3,0,0,0,3,15.53,34,0,1,0
8,4,C5H3N3S:C3H9Al,-0.12624,1.03,12,3,0,0,0,3,5.55,13,0,1,0
8,5,C5H3N3S:C2H5AlCl2,-0.14268,1.03,12,3,0,0,0,3,12.7,10,0,1,0
8,6,C5H3N3S:BH3,-0.2971,1.03,12,3,0,0,0,3,3.46,4,1,0,3
8,7,C5H3N3S:BF3,-0.2868,1.03,12,3,0,0,0,3,16.95,4,1,0,0
8,8,C5H3N3S:BCl3,-0.2963,1.03,12,3,0,0,0,3,29.29,4,1,0,0
8,9,C5H3N3S:BBr3,-0.269,1.03,12,3,0,0,0,3,62.63,4,1,0,0
8,10,C5H3N3S:C18BF15,-0.3492,1.03,12,3,0,0,0,3,15.06,34,1,0,0
8,11,C5H3N3S:BI3,-0.19578,1.03,12,3,0,0,0,3,97.88,4,1,0,0
8,12,C5H3N3S:O2S,-0.10498,1.03,12,3,0,0,0,3,21.36,3,0,0,0
9,1,C16H10N2S2:AlCl3,-0.17646,1.0,30,10,0,0,0,2,33.33,4,0,1,0
9,2,C16H10N2S2:AlH3,-0.16576,1.0,30,10,0,0,0,2,7.5,4,0,1,3
9,3,C16H10N2S2:C18F15Al,-0.19932,1.0,30,10,0,0,0,2,15.53,34,0,1,0
9,4,C16H10N2S2:C3H9Al,-0.14592,1.0,30,10,0,0,0,2,5.55,13,0,1,0
9,5,C16H10N2S2:C2H5AlCl2,-0.16122,1.0,30,10,0,0,0,2,12.7,10,0,1,0
9,6,C16H10N2S2:BH3,-0.30552,1.0,30,10,0,0,0,2,3.46,4,1,0,3
9,7,C16H10N2S2:BF3,-0.26482,1.0,30,10,0,0,0,2,16.95,4,1,0,0
9,8,C16H10N2S2:BCl3,-0.29402,1.0,30,10,0,0,0,2,29.29,4,1,0,0
9,9,C16H10N2S2:BBr3,-0.27312,1.0,30,10,0,0,0,2,62.63,4,1,0,0
9,10,C16H10N2S2:C18BF15,-0.34212,1.0,30,10,0,0,0,2,15.06,34,1,0,0
9,11,C16H10N2S2:BI3,-0.21718,1.0,30,10,0,0,0,2,97.88,4,1,0,0
9,12,C16H10N2S2:O2S,-0.05022,1.0,30,10,0,0,0,2,21.36,3,0,0,0
10,1,C6H4N2S:AlCl3,-0.15454,1.01,13,4,0,0,0,2,33.33,4,0,1,0
10,2,C6H4N2S:AlH3,-0.14188,1.01,13,4,0,0,0,2,7.5,4,0,1,3
10,3,C6H4N2S:C18F15Al,-0.17022,1.01,13,4,0,0,0,2,15.53,34,0,1,0
10,4,C6H4N2S:C3H9Al,-0.13012,1.01,13,4,0,0,0,2,5.55,13,0,1,0
10,5,C6H4N2S:C2H5AlCl2,-0.1343,1.01,13,4,0,0,0,2,12.7,10,0,1,0
10,6,C6H4N2S:BH3,-0.30032,1.01,13,4,0,0,0,2,3.46,4,1,0,3
10,7,C6H4N2S:BF3,-0.26152,1.01,13,4,0,0,0,2,16.95,4,1,0,0
10,8,C6H4N2S:BCl3,-0.29988,1.01,13,4,0,0,0,2,29.29,4,1,0,0
10,9,C6H4N2S:BBr3,-0.2709,1.01,13,4,0,0,0,2,62.63,4,1,0,0
10,10,C6H4N2S:C18BF15,-0.3734,1.01,13,4,0,0,0,2,15.06,34,1,0,0
10,11,C6H4N2S:BI3,-0.17652,1.01,13,4,0,0,0,2,97.88,4,1,0,0
10,12,C6H4N2S:O2S,-0.03074,1.01,13,4,0,0,0,2,21.36,3,0,0,0
11,1,C6H3N2FS:AlCl3,-0.152,1.05,13,3,0,0,1,2,33.33,4,0,1,0
11,2,C6H3N2FS:AlH3,-0.13864,1.05,13,3,0,0,1,2,7.5,4,0,1,3
11,3,C6H3N2FS:C18F15Al,-0.16582,1.05,13,3,0,0,1,2,15.53,34,0,1,0
11,4,C6H3N2FS:C3H9Al,-0.12724,1.05,13,3,0,0,1,2,5.55,13,0,1,0
11,5,C6H3N2FS:C2H5AlCl2,-0.13144,1.05,13,3,0,0,1,2,12.7,10,0,1,0
11,6,C6H3N2FS:BH3,-0.2967,1.05,13,3,0,0,1,2,3.46,4,1,0,3
11,7,C6H3N2FS:BF3,-0.2646,1.05,13,3,0,0,1,2,16.95,4,1,0,0
11,8,C6H3N2FS:BCl3,-0.29622,1.05,13,3,0,0,1,2,29.29,4,1,0,0
11,9,C6H3N2FS:BBr3,-0.2666,1.05,13,3,0,0,1,2,62.63,4,1,0,0
11,10,C6H3N2FS:C18BF15,-0.36924,1.05,13,3,0,0,1,2,15.06,34,1,0,0
11,11,C6H3N2FS:BI3,-0.16242,1.05,13,3,0,0,1,2,97.88,4,1,0,0
11,12,C6H3N2FS:O2S,-0.02704,1.05,13,3,0,0,1,2,21.36,3,0,0,0
12,1,C6H2N2F2S:AlCl3,-0.14932,1.09,13,2,0,0,2,2,33.33,4,0,1,0
12,2,C6H2N2F2S:AlH3,-0.13678,1.09,13,2,0,0,2,2,7.5,4,0,1,3
12,3,C6H2N2F2S:C18F15Al,-0.1625,1.09,13,2,0,0,2,2,15.53,34,0,1,0
12,4,C6H2N2F2S:C3H9Al,-0.12726,1.09,13,2,0,0,2,2,5.55,13,0,1,0
12,5,C6H2N2F2S:C2H5AlCl2,-0.12934,1.09,13,2,0,0,2,2,12.7,10,0,1,0
12,6,C6H2N2F2S:BH3,-0.29572,1.09,13,2,0,0,2,2,3.46,4,1,0,3
12,7,C6H2N2F2S:BF3,-0.26272,1.09,13,2,0,0,2,2,16.95,4,1,0,0
12,8,C6H2N2F2S:BCl3,-0.2944,1.09,13,2,0,0,2,2,29.29,4,1,0,0
12,9,C6H2N2F2S:BBr3,-0.26428,1.09,13,2,0,0,2,2,62.63,4,1,0,0
12,10,C6H2N2F2S:C18BF15,-0.37078,1.09,13,2,0,0,2,2,15.06,34,1,0,0
12,11,C6H2N2F2S:BI3,-0.15226,1.09,13,2,0,0,2,2,97.88,4,1,0,0
12,12,C6H2N2F2S:O2S,-0.0247,1.09,13,2,0,0,2,2,21.36,3,0,0,0
13,1,C6H2N4S2:AlCl3,-0.1524,1.05,14,2,0,0,0,4,33.33,4,0,1,0
13,2,C6H2N4S2:AlH3,-0.13842,1.05,14,2,0,0,0,4,7.5,4,0,1,3
13,3,C6H2N4S2:C18F15Al,-0.16316,1.05,14,2,0,0,0,4,15.53,34,0,1,0
13,4,C6H2N4S2:C3H9Al,-0.12208,1.05,14,2,0,0,0,4,5.55,13,0,1,0
13,5,C6H2N4S2:C2H5AlCl2,-0.12776,1.05,14,2,0,0,0,4,12.7,10,0,1,0
13,6,C6H2N4S2:BH3,-0.29008,1.05,14,2,0,0,0,4,3.46,4,1,0,3
13,7,C6H2N4S2:BF3,-0.26378,1.05,14,2,0,0,0,4,16.95,4,1,0,0
13,8,C6H2N4S2:BCl3,-0.29376,1.05,14,2,0,0,0,4,29.29,4,1,0,0
13,9,C6H2N4S2:BBr3,-0.26078,1.05,14,2,0,0,0,4,62.63,4,1,0,0
13,10,C6H2N4S2:C18BF15,-0.3635,1.05,14,2,0,0,0,4,15.06,34,1,0,0
13,11,C6H2N4S2:BI3,-0.11668,1.05,14,2,0,0,0,4,97.88,4,1,0,0
13,12,C6H2N4S2:O2S,-0.02492,1.05,14,2,0,0,0,4,21.36,3,0,0,0
14,1,C10H4N4S2:AlCl3,-0.14464,1.03,20,4,0,0,0,4,33.33,4,0,1,0
14,2,C10H4N4S2:AlH3,-0.13482,1.03,20,4,0,0,0,4,7.5,4,0,1,3
14,3,C10H4N4S2:C18F15Al,-0.16798,1.03,20,4,0,0,0,4,15.53,34,0,1,0
14,4,C10H4N4S2:C3H9Al,-0.12974,1.03,20,4,0,0,0,4,5.55,13,0,1,0
14,5,C10H4N4S2:C2H5AlCl2,-0.14296,1.03,20,4,0,0,0,4,12.7,10,0,1,0
14,6,C10H4N4S2:BH3,-0.3004,1.03,20,4,0,0,0,4,3.46,4,1,0,3
14,7,C10H4N4S2:BF3,-0.26332,1.03,20,4,0,0,0,4,16.95,4,1,0,0
14,8,C10H4N4S2:BCl3,-0.27858,1.03,20,4,0,0,0,4,29.29,4,1,0,0
14,9,C10H4N4S2:BBr3,-0.2471,1.03,20,4,0,0,0,4,62.63,4,1,0,0
14,10,C10H4N4S2:C18BF15,-0.3611,1.03,20,4,0,0,0,4,15.06,34,1,0,0
14,11,C10H4N4S2:BI3,-0.14706,1.03,20,4,0,0,0,4,97.88,4,1,0,0
14,12,C10H4N4S2:O2S,-0.02186,1.03,20,4,0,0,0,4,21.36,3,0,0,0
15,1,C5H5N:AlCl3,-0.16168,0.99,11,5,0,0,0,1,33.33,4,0,1,0
15,2,C5H5N:AlH3,-0.15164,0.99,11,5,0,0,0,1,7.5,4,0,1,3
15,3,C5H5N:C18F15Al,-0.17006,0.99,11,5,0,0,0,1,15.53,34,0,1,0
15,4,C5H5N:C3H9Al,-0.1417,0.99,11,5,0,0,0,1,5.55,13,0,1,0
15,5,C5H5N:C2H5AlCl2,-0.14758,0.99,11,5,0,0,0,1,12.7,10,0,1,0
15,6,C5H5N:BH3,-0.32264,0.99,11,5,0,0,0,1,3.46,4,1,0,3
15,7,C5H5N:BF3,-0.2986,0.99,11,5,0,0,0,1,16.95,4,1,0,0
15,8,C5H5N:BCl3,-0.31622,0.99,11,5,0,0,0,1,29.29,4,1,0,0
15,9,C5H5N:BBr3,-0.29592,0.99,11,5,0,0,0,1,62.63,4,1,0,0
15,10,C5H5N:C18BF15,-0.37174,0.99,11,5,0,0,0,1,15.06,34,1,0,0
15,11,C5H5N:BI3,-0.25648,0.99,11,5,0,0,0,1,97.88,4,1,0,0
15,12,C5H5N:O2S,-0.12582,0.99,11,5,0,0,0,1,21.36,3,0,0,0
16,1,C5H4NF:AlCl3,-0.16624,1.03,11,4,0,0,1,1,33.33,4,0,1,0
16,2,C5H4NF:AlH3,-0.15344,1.03,11,4,0,0,1,1,7.5,4,0,1,3
16,3,C5H4NF:C18F15Al,-0.18388,1.03,11,4,0,0,1,1,15.53,34,0,1,0
16,4,C5H4NF:C3H9Al,-0.14566,1.03,11,4,0,0,1,1,5.55,13,0,1,0
16,5,C5H4NF:C2H5AlCl2,-0.15746,1.03,11,4,0,0,1,1,12.7,10,0,1,0
16,6,C5H4NF:BH3,-0.31376,1.03,11,4,0,0,1,1,3.46,4,1,0,3
16,7,C5H4NF:BF3,-0.27132,1.03,11,4,0,0,1,1,16.95,4,1,0,0
16,8,C5H4NF:BCl3,-0.31048,1.03,11,4,0,0,1,1,29.29,4,1,0,0
16,9,C5H4NF:BBr3,-0.2953,1.03,11,4,0,0,1,1,62.63,4,1,0,0
16,10,C5H4NF:C18BF15,-0.36854,1.03,11,4,0,0,1,1,15.06,34,1,0,0
16,11,C5H4NF:BI3,-0.24738,1.03,11,4,0,0,1,1,97.88,4,1,0,0
16,12,C5H4NF:O2S,-0.07472,1.03,11,4,0,0,1,1,21.36,3,0,0,0
17,1,C6H7N:AlCl3,-0.1676,0.98,14,7,0,0,0,1,33.33,4,0,1,0
17,2,C6H7N:AlH3,-0.15838,0.98,14,7,0,0,0,1,7.5,4,0,1,3
17,3,C6H7N:C18F15Al,-0.18362,0.98,14,7,0,0,0,1,15.53,34,0,1,0
17,4,C6H7N:C3H9Al,-0.15246,0.98,14,7,0,0,0,1,5.55,13,0,1,0
17,5,C6H7N:C2H5AlCl2,-0.1576,0.98,14,7,0,0,0,1,12.7,10,0,1,0
17,6,C6H7N:BH3,-0.32724,0.98,14,7,0,0,0,1,3.46,4,1,0,3
17,7,C6H7N:BF3,-0.30354,0.98,14,7,0,0,0,1,16.95,4,1,0,0
17,8,C6H7N:BCl3,-0.31426,0.98,14,7,0,0,0,1,29.29,4,1,0,0
17,9,C6H7N:BBr3,-0.29314,0.98,14,7,0,0,0,1,62.63,4,1,0,0
17,10,C6H7N:C18BF15,-0.3769,0.98,14,7,0,0,0,1,15.06,34,1,0,0
17,11,C6H7N:BI3,-0.25672,0.98,14,7,0,0,0,1,97.88,4,1,0,0
17,12,C6H7N:O2S,-0.13514,0.98,14,7,0,0,0,1,21.36,3,0,0,0
18,1,NH3:AlCl3,-0.18562,1.0,4,3,0,0,0,0,33.33,4,0,1,0
18,2,NH3:AlH3,-0.17416,1.0,4,3,0,0,0,0,7.5,4,0,1,3
18,3,NH3:C18F15Al,-0.19356,1.0,4,3,0,0,0,0,15.53,34,0,1,0
18,4,NH3:C3H9Al,-0.1695,1.0,4,3,0,0,0,0,5.55,13,0,1,0
18,5,NH3:C2H5AlCl2,-0.17902,1.0,4,3,0,0,0,0,12.7,10,0,1,0
18,6,NH3:BH3,-0.35796,1.0,4,3,0,0,0,0,3.46,4,1,0,3
18,7,NH3:BF3,-0.30406,1.0,4,3,0,0,0,0,16.95,4,1,0,0
18,8,NH3:BCl3,-0.35168,1.0,4,3,0,0,0,0,29.29,4,1,0,0
18,9,NH3:BBr3,-0.34132,1.0,4,3,0,0,0,0,62.63,4,1,0,0
18,10,NH3:C18BF15,-0.39134,1.0,4,3,0,0,0,0,15.06,34,1,0,0
18,11,NH3:BI3,-0.31084,1.0,4,3,0,0,0,0,97.88,4,1,0,0
18,12,NH3:O2S,-0.09924,1.0,4,3,0,0,0,0,21.36,3,0,0,0
19,1,CH5N:AlCl3,-0.17356,0.98,7,5,0,0,0,0,33.33,4,0,1,0
19,2,CH5N:AlH3,-0.1686,0.98,7,5,0,0,0,0,7.5,4,0,1,3
19,3,CH5N:C18F15Al,-0.18526,0.98,7,5,0,0,0,0,15.53,34,0,1,0
19,4,CH5N:C3H9Al,-0.16026,0.98,7,5,0,0,0,0,5.55,13,0,1,0
19,5,CH5N:C2H5AlCl2,-0.16818,0.98,7,5,0,0,0,0,12.7,10,0,1,0
19,6,CH5N:BH3,-0.35942,0.98,7,5,0,0,0,0,3.46,4,1,0,3
19,7,CH5N:BF3,-0.31126,0.98,7,5,0,0,0,0,16.95,4,1,0,0
19,8,CH5N:BCl3,-0.34326,0.98,7,5,0,0,0,0,29.29,4,1,0,0
19,9,CH5N:BBr3,-0.33016,0.98,7,5,0,0,0,0,62.63,4,1,0,0
19,10,CH5N:C18BF15,-0.39548,0.98,7,5,0,0,0,0,15.06,34,1,0,0
19,11,CH5N:BI3,-0.3012,0.98,7,5,0,0,0,0,97.88,4,1,0,0
19,12,CH5N:O2S,-0.1548,0.98,7,5,0,0,0,0,21.36,3,0,0,0
20,1,C2H7N:AlCl3,-0.16264,0.98,10,7,0,0,0,0,33.33,4,0,1,0
20,2,C2H7N:AlH3,-0.15608,0.98,10,7,0,0,0,0,7.5,4,0,1,3
20,3,C2H7N:C18F15Al,-0.17594,0.98,10,7,0,0,0,0,15.53,34,0,1,0
20,4,C2H7N:C3H9Al,-0.14752,0.98,10,7,0,0,0,0,5.55,13,0,1,0
20,5,C2H7N:C2H5AlCl2,-0.15544,0.98,10,7,0,0,0,0,12.7,10,0,1,0
20,6,C2H7N:BH3,-0.35029,0.98,10,7,0,0,0,0,3.46,4,1,0,3
20,7,C2H7N:BF3,-0.3051,0.98,10,7,0,0,0,0,16.95,4,1,0,0
20,8,C2H7N:BCl3,-0.32704,0.98,10,7,0,0,0,0,29.29,4,1,0,0
20,9,C2H7N:BBr3,-0.31312,0.98,10,7,0,0,0,0,62.63,4,1,0,0
20,10,C2H7N:C18BF15,-0.38534,0.98,10,7,0,0,0,0,15.06,34,1,0,0
20,11,C2H7N:BI3,-0.2871,0.98,10,7,0,0,0,0,97.88,4,1,0,0
20,12,C2H7N:O2S,-0.1882,0.98,10,7,0,0,0,0,21.36,3,0,0,0
21,1,C3H9N:AlCl3,-0.14898,0.97,13,9,0,0,0,0,33.33,4,0,1,0
21,2,C3H9N:AlH3,-0.14104,0.97,13,9,0,0,0,0,7.5,4,0,1,3
21,3,C3H9N:C18F15Al,-0.16274,0.97,13,9,0,0,0,0,15.53,34,0,1,0
21,4,C3H9N:C3H9Al,-0.13346,0.97,13,9,0,0,0,0,5.55,13,0,1,0
21,5,C3H9N:C2H5AlCl2,-0.14134,0.97,13,9,0,0,0,0,12.7,10,0,1,0
21,6,C3H9N:BH3,-0.3324,0.97,13,9,0,0,0,0,3.46,4,1,0,3
21,7,C3H9N:BF3,-0.2895,0.97,13,9,0,0,0,0,16.95,4,1,0,0
21,8,C3H9N:BCl3,-0.3046,0.97,13,9,0,0,0,0,29.29,4,1,0,0
21,9,C3H9N:BBr3,-0.29132,0.97,13,9,0,0,0,0,62.63,4,1,0,0
21,10,C3H9N:C18BF15,-0.3461,0.97,13,9,0,0,0,0,15.06,34,1,0,0
21,11,C3H9N:BI3,-0.26952,0.97,13,9,0,0,0,0,97.88,4,1,0,0
21,12,C3H9N:O2S,-0.20366,0.97,13,9,0,0,0,0,21.36,3,0,0,0
22,1,CHN:AlCl3,-0.14508,1.03,3,1,0,0,0,0,33.33,4,0,1,0
22,2,CHN:AlH3,-0.13308,1.03,3,1,0,0,0,0,7.5,4,0,1,3
22,3,CHN:C18F15Al,-0.16824,1.03,3,1,0,0,0,0,15.53,34,0,1,0
22,4,CHN:C3H9Al,-0.1296,1.03,3,1,0,0,0,0,5.55,13,0,1,0
22,5,CHN:C2H5AlCl2,-0.13958,1.03,3,1,0,0,0,0,12.7,10,0,1,0
22,6,CHN:BH3,-0.26836,1.03,3,1,0,0,0,0,3.46,4,1,0,3
22,7,CHN:BF3,-0.05116,1.03,3,1,0,0,0,0,16.95,4,1,0,0
22,8,CHN:BCl3,-0.28674,1.03,3,1,0,0,0,0,29.29,4,1,0,0
22,9,CHN:BBr3,-0.26818,1.03,3,1,0,0,0,0,62.63,4,1,0,0
22,10,CHN:C18BF15,-0.35422,1.03,3,1,0,0,0,0,15.06,34,1,0,0
22,11,CHN:BI3,-0.19632,1.03,3,1,0,0,0,0,97.88,4,1,0,0
23,1,C2H3N:AlCl3,-0.16194,1.0,6,3,0,0,0,0,33.33,4,0,1,0
23,2,C2H3N:AlH3,-0.15014,1.0,6,3,0,0,0,0,7.5,4,0,1,3
23,3,C2H3N:C18F15Al,-0.19064,1.0,6,3,0,0,0,0,15.53,34,0,1,0
23,4,C2H3N:C3H9Al,-0.14608,1.0,6,3,0,0,0,0,5.55,13,0,1,0
23,5,C2H3N:C2H5AlCl2,-0.1562,1.0,6,3,0,0,0,0,12.7,10,0,1,0
23,6,C2H3N:BH3,-0.28739,1.0,6,3,0,0,0,0,3.46,4,1,0,3
23,7,C2H3N:BF3,-0.20008,1.0,6,3,0,0,0,0,16.95,4,1,0,0
23,8,C2H3N:BCl3,-0.31718,1.0,6,3,0,0,0,0,29.29,4,1,0,0
23,9,C2H3N:BBr3,-0.30024,1.0,6,3,0,0,0,0,62.63,4,1,0,0
